name,period_d,depth_ppm,snr,prob,pred_discovery,pred_strict,truth
TOI-7166.01,12.922811508178711,8723.2564459,2.896783381427331,0.6736045479774475,1,1,1
TOI-2177.01,3.522475004196167,8602.325645,15.62308672020526,0.41752272844314575,1,0,1
TOI-6052.01,4.0135698318481445,8561.4394866,13.068841826565839,0.41012042760849,1,0,1
TOI-1626.01,3.3326189517974854,8310.5066162,31.902130177298268,0.38649842143058777,0,0,1
TOI-2373.01,13.336817741394043,8210.0,10.75673139361552,0.6044679284095764,1,1,1
TOI-1603.01,4.732173442840576,8121.0,52.34536573571698,0.489186555147171,1,0,1
TOI-574.01,3.3023908138275146,8027.6122024,15.453016100085343,0.3541063368320465,0,0,1
TOI-1295.01,3.1968839168548584,7958.980656,102.75528366027226,0.3609783947467804,0,0,1
TOI-1855.01,1.3641482591629028,7820.0,22.839716867903036,0.4447876513004303,1,0,1
TOI-5086.01,2.9956367015838623,7778.0,42.23898007067429,0.5172007083892822,1,1,1
TOI-4138.01,3.660032033920288,7749.7203265,49.39369812777883,0.4009000062942505,1,0,1
TOI-2130.01,5.005260467529297,7641.404098,38.05848543305557,0.4959331452846527,1,0,1
TOI-6015.01,4.304829120635986,7531.4221197,21.943494379339416,0.5609126687049866,1,1,1
TOI-628.01,3.407599925994873,7500.0,3.6857038898524888,0.7244508266448975,1,1,1
TOI-640.01,5.003775596618652,7390.0,62.29876793767714,0.5642350912094116,1,1,1
TOI-4486.01,2.6915407180786133,7265.0,38.73613032019737,0.2180318534374237,0,0,1
TOI-2236.01,3.5315897464752197,7230.0,37.13748352851493,0.4865049421787262,1,0,1
TOI-5959.01,4.457144260406494,7175.6801891,27.10254461907506,0.39199939370155334,0,0,1
TOI-483.01,4.37808084487915,7074.3931388,39.87993872304356,0.34994783997535706,0,0,1
TOI-4431.01,4.885484218597412,7009.1394983,13.262899299019052,0.5892962217330933,1,1,1
TOI-1194.01,2.310642719268799,6911.0,74.71762759868892,0.5385327935218811,1,1,1
TOI-3568.01,4.41780424118042,6790.1682056,16.97748150601474,0.5421969890594482,1,1,1
TOI-1161.01,1.7635880708694458,6650.0,46.860668081571006,0.22669991850852966,0,0,1
TOI-256.01,24.737340927124023,6560.492087,4.892615682932504,0.8158156275749207,1,1,1
TOI-2525.01,23.341854095458984,6473.602151,5.414388932401299,0.8560055494308472,1,1,1
TOI-1904.01,4.324770927429199,6380.0,31.738879334649095,0.5316134095191956,1,1,1
TOI-5535.01,3.386317014694214,6259.8518041,4.17187636977716,0.1617814302444458,0,0,1
TOI-129.01,0.9809719920158386,6178.392421,120.13715835515136,0.5538800954818726,1,1,1
TOI-6963.01,8.834925651550293,6132.2553437,3.2213492915908026,0.7366220355033875,1,1,1
TOI-1885.01,6.544066429138184,6060.0,37.298671477393526,0.7039638161659241,1,1,1
TOI-5153.01,20.91084098815918,5936.0,7.340396605222963,0.8466275930404663,1,1,1
TOI-4987.01,4.28896951675415,5850.0,25.803263673868056,0.6350489258766174,1,1,1
TOI-117.01,3.5862960815429688,5729.3246858,20.19880349891231,0.5241475105285645,1,1,1
TOI-415.01,3.611262083053589,5684.0944144,39.49231406324618,0.5180996060371399,1,1,1
TOI-2604.01,4.908881664276123,5548.8279627,9.386009599645105,0.6356568336486816,1,1,1
TOI-1728.01,3.4913952350616455,5400.0,29.024837028422997,0.619472324848175,1,1,1
TOI-169.01,2.255445957183838,5283.7103901,28.60433905072205,0.5495171546936035,1,1,1
TOI-1933.01,3.2633163928985596,5011.5725027,3.1397180416597883,0.4565247595310211,1,0,1
TOI-819.01,16.254680633544922,4950.0,18.519324222055083,0.8176566958427429,1,1,1
TOI-303.01,3.5608112812042236,4890.0,11.860355279368209,0.36532875895500183,0,0,1
TOI-237.01,5.436166763305664,4797.1288482,5.4975492954352925,0.5523585081100464,1,1,1
TOI-269.01,3.69771671295166,4755.6707294,30.779725544865837,0.8155484795570374,1,1,1
TOI-2207.01,8.000489234924316,4606.7419685,11.137480124717268,0.6680572628974915,1,1,1
TOI-2199.01,3.3771114349365234,4515.155077,22.76440620552349,0.5711285471916199,1,1,1
TOI-1916.01,1.8882310390472412,4358.3260875,7.808453062402908,0.2112424373626709,0,0,1
TOI-5523.02,3.471280336380005,4280.3883109,5.1626056325981455,0.5610098838806152,1,1,1
TOI-1298.01,4.537136077880859,4199.7558754,62.34271730202099,0.6616061329841614,1,1,1
TOI-5467.01,2.6570005416870117,4050.0,9.739048037323073,0.45819148421287537,1,0,1
TOI-1554.01,9.434159278869629,4001.924935,28.761128721254693,0.8644490242004395,1,1,1
TOI-4534.01,2.8492801189422607,3881.5844287,6.309125346908771,0.6039659976959229,1,1,1
TOI-270.01,5.660569190979004,3856.1060852,43.158808541295734,0.7710619568824768,1,1,1
TOI-1493.01,5.147904872894287,3710.0,23.382196141363302,0.5904191732406616,1,1,1
TOI-5097.01,5.745994567871094,3650.0,14.912452700789881,0.8230237364768982,1,1,1
TOI-2421.01,4.347400188446045,3520.0,11.035843920099435,0.673797607421875,1,1,1
TOI-256.02,3.7779417037963867,3469.450739,13.532470057595829,0.8003153800964355,1,1,1
TOI-1239.01,12.639698028564453,3292.6812864,18.648395427943104,0.8729184865951538,1,1,1
TOI-576.01,5.443535327911377,3219.0,37.35827330842817,0.7087502479553223,1,1,1
TOI-1266.01,10.894842147827148,3168.3853584,17.700059269491373,0.8670733571052551,1,1,1
TOI-2543.01,7.542750835418701,3098.3066655,13.916129447161254,0.8312901854515076,1,1,1
TOI-569.01,6.556207656860352,2970.0,18.008342885804925,0.8526080250740051,1,1,1
TOI-5168.01,6.771341323852539,2930.0,3.140121219525028,0.8130385279655457,1,1,1
TOI-654.01,1.5275639295578003,2892.4227936,10.576959396878037,0.5425864458084106,1,1,1
TOI-1288.01,2.699829339981079,2798.0,51.70305351565243,0.6204968094825745,1,1,1
TOI-4916.01,4.119703769683838,2690.0,5.571066929157986,0.6842799186706543,1,1,1
TOI-470.01,12.191455841064453,2625.0570737,11.387868583439175,0.856472373008728,1,1,1
TOI-1828.01,9.094123840332031,2570.0,31.241611166020068,0.85750412940979,1,1,1
