name,depth_ppm,truth,prob_baseline,pred_baseline,prob_norm_0.0015,pred_norm_0.0015,target_depth
TOI-4525.01,10361.0,1,0.5003786683082581,1,0.6545844674110413,1,0.0015
TOI-5398.01,10290.0,1,0.8620162606239319,1,0.8682577610015869,1,0.0015
TOI-295.01,10192.131158,1,0.546678364276886,1,0.7593507170677185,1,0.0015
TOI-2206.01,10110.2139841,1,0.603736937046051,1,0.7450083494186401,1,0.0015
TOI-559.01,10050.0,1,0.43552425503730774,1,0.6019272804260254,1,0.0015
TOI-2580.01,9960.0,1,0.293695867061615,0,0.4544195234775543,1,0.0015
TOI-2176.01,9822.0002486,1,0.6176272034645081,1,0.8418038487434387,1,0.0015
TOI-439.01,9747.6035597,1,0.41868817806243896,1,0.638948380947113,1,0.0015
TOI-1612.01,9597.0,1,0.5427631139755249,1,0.5622355937957764,1,0.0015
TOI-5960.01,9490.8396842,1,0.45385855436325073,1,0.41326722502708435,1,0.0015
TOI-3688.01,9405.9910446,1,0.47344648838043213,1,0.6663074493408203,1,0.0015
TOI-2386.01,9248.4759918,1,0.43795186281204224,1,0.617357611656189,1,0.0015
TOI-4532.01,9178.0,1,0.5867480039596558,1,0.8462879657745361,1,0.0015
TOI-578.01,8982.0803562,1,0.3211419880390167,0,0.5655416250228882,1,0.0015
TOI-1373.01,8913.0,1,0.5127136707305908,1,0.5770931243896484,1,0.0015
TOI-7166.01,8723.2564459,1,0.6736045479774475,1,0.8296646475791931,1,0.0015
TOI-2177.01,8602.325645,1,0.41752272844314575,1,0.7441219687461853,1,0.0015
TOI-6052.01,8561.4394866,1,0.41012042760849,1,0.6895157098770142,1,0.0015
TOI-1626.01,8310.5066162,1,0.38649842143058777,0,0.6613752841949463,1,0.0015
TOI-2373.01,8210.0,1,0.6044679284095764,1,0.8483889102935791,1,0.0015
TOI-1603.01,8121.0,1,0.489186555147171,1,0.6614299416542053,1,0.0015
TOI-574.01,8027.6122024,1,0.3541063368320465,0,0.5362382531166077,1,0.0015
TOI-1295.01,7958.980656,1,0.3609783947467804,0,0.5536187291145325,1,0.0015
TOI-1855.01,7820.0,1,0.4447876513004303,1,0.6609868407249451,1,0.0015
TOI-5086.01,7778.0,1,0.5172007083892822,1,0.6860951781272888,1,0.0015
TOI-4138.01,7749.7203265,1,0.4009000062942505,1,0.5741626024246216,1,0.0015
TOI-2130.01,7641.404098,1,0.4959331452846527,1,0.6638849973678589,1,0.0015
TOI-6015.01,7531.4221197,1,0.5609126687049866,1,0.7246764302253723,1,0.0015
TOI-628.01,7500.0,1,0.7244508266448975,1,0.8292577266693115,1,0.0015
TOI-640.01,7390.0,1,0.5642350912094116,1,0.6888971328735352,1,0.0015
TOI-4486.01,7265.0,1,0.2180318534374237,0,0.370144784450531,0,0.0015
TOI-2236.01,7230.0,1,0.4865049421787262,1,0.6588619351387024,1,0.0015
TOI-5959.01,7175.6801891,1,0.39199939370155334,0,0.5364261269569397,1,0.0015
TOI-483.01,7074.3931388,1,0.34994783997535706,0,0.47614070773124695,1,0.0015
TOI-4431.01,7009.1394983,1,0.5892962217330933,1,0.7356933951377869,1,0.0015
TOI-1194.01,6911.0,1,0.5385327935218811,1,0.6788490414619446,1,0.0015
TOI-3568.01,6790.1682056,1,0.5421969890594482,1,0.8155623078346252,1,0.0015
TOI-1161.01,6650.0,1,0.22669991850852966,0,0.31010517477989197,0,0.0015
TOI-256.01,6560.492087,1,0.8158156275749207,1,0.7722271680831909,1,0.0015
TOI-2525.01,6473.602151,1,0.8560055494308472,1,0.8233249187469482,1,0.0015
TOI-1904.01,6380.0,1,0.5316134095191956,1,0.6704055666923523,1,0.0015
TOI-5535.01,6259.8518041,1,0.1617814302444458,0,0.60391765832901,1,0.0015
TOI-129.01,6178.392421,1,0.5538800954818726,1,0.6797868609428406,1,0.0015
TOI-6963.01,6132.2553437,1,0.7366220355033875,1,0.7717365026473999,1,0.0015
TOI-1885.01,6060.0,1,0.7039638161659241,1,0.8199811577796936,1,0.0015
TOI-5153.01,5936.0,1,0.8466275930404663,1,0.861876904964447,1,0.0015
TOI-4987.01,5850.0,1,0.6350489258766174,1,0.7528563737869263,1,0.0015
TOI-117.01,5729.3246858,1,0.5241475105285645,1,0.7065662145614624,1,0.0015
TOI-415.01,5684.0944144,1,0.5180996060371399,1,0.658550500869751,1,0.0015
TOI-2604.01,5548.8279627,1,0.6356568336486816,1,0.7396367788314819,1,0.0015
TOI-1728.01,5400.0,1,0.619472324848175,1,0.7597495317459106,1,0.0015
TOI-169.01,5283.7103901,1,0.5495171546936035,1,0.7307350039482117,1,0.0015
TOI-1933.01,5011.5725027,1,0.4565247595310211,1,0.5498998165130615,1,0.0015
TOI-819.01,4950.0,1,0.8176566958427429,1,0.8583919405937195,1,0.0015
TOI-303.01,4890.0,1,0.36532875895500183,0,0.659012496471405,1,0.0015
TOI-237.01,4797.1288482,1,0.5523585081100464,1,0.7852321267127991,1,0.0015
TOI-269.01,4755.6707294,1,0.8155484795570374,1,0.877087414264679,1,0.0015
TOI-2207.01,4606.7419685,1,0.6680572628974915,1,0.6749629974365234,1,0.0015
TOI-2199.01,4515.155077,1,0.5711285471916199,1,0.7065361738204956,1,0.0015
