kepoi_name,ss,snr
K01765.01,1,742.2
K01770.01,1,57.6
K01773.01,0,277.2
K00022.01,0,1955.1
K01510.01,0,35.1
K01511.01,0,36.7
K01512.01,1,34.5
K00176.01,0,71.7
K01513.01,1,65.9
K00182.01,1,123.3
K01571.01,0,47.7
K01572.01,0,53.1
K01573.01,0,123.9
K01573.02,0,23.7
K01641.01,0,15.4
K01643.01,0,24.3
K01644.01,1,24.3
K01646.01,0,15.0
K00190.01,1,560.2
K01751.01,0,70.9
K01751.02,0,44.7
K01753.01,0,27.0
K00194.01,0,113.5
K01754.01,0,19.8
K01514.01,0,22.7
K01515.01,0,42.8
K01515.02,0,27.2
K01516.01,0,40.6
K01517.01,0,62.0
K01574.01,0,230.6
K01574.02,0,36.8
K01574.03,0,17.6
K01575.01,1,26.4
K01576.01,0,69.3
K01647.01,0,28.9
K01647.02,0,17.9
K01647.03,0,9.8
K01648.01,0,15.0
